scanner	tf	symbol	trades	wins	net	pf	avgR	netStress	windowsUp	days
structure-anchored-vwap	15m	PIEVERSEUSD	15	11	249.69	4.241	0.771	225.54	5	42
swing-breakout-strategy-quant-core	4h	TAOUSD	7	4	3.69	1.061	0.035	0.16	1	333
take-liquidity-multi-time-frame-tradesystem	1h	AAVEUSD	93	28	-435.44	0.458	-0.323	-488.64	2	125
swing-breakout-strategy-quant-core	4h	EVAAUSD	7	4	144.59	3.268	1.029	140.87	3	333
smart-grid-scalping-pullback-strategy-bullbyte	1h	EVAAUSD	52	29	39.56	1.115	0.045	0.70	5	125
swing-breakout-strategy-quant-core	4h	PIEVERSEUSD	3	1	-22.25	0.434	-0.374	-22.97	1	154
take-liquidity-multi-time-frame-tradesystem	1h	NEARUSD	101	32	-389.71	0.589	-0.235	-480.79	2	125
take-liquidity-multi-time-frame-tradesystem	4h	AVAXUSD	10	4	-11.72	0.881	-0.048	-12.37	2	333
swing-breakout-strategy-quant-core	4h	LINKUSD	4	3	40.15	2.930	0.505	46.96	2	333
take-liquidity-multi-time-frame-tradesystem	1h	FILUSD	94	29	-417.81	0.530	-0.275	-453.92	1	125
swing-breakout-strategy-quant-core	4h	BNBUSD	8	5	76.63	2.232	0.493	141.64	3	333
structure-anchored-vwap	15m	LINKUSD	9	7	52.57	2.287	0.291	40.98	5	42
mcginley-t3-flow-campaign-nick789-v-1	15m	XRPUSD	27	17	74.84	1.373	0.148	31.21	4	42
take-liquidity-multi-time-frame-tradesystem	1h	SUIUSD	80	29	-423.14	0.460	-0.335	-503.90	0	125
swing-breakout-strategy-quant-core	4h	BCHUSD	6	1	-76.27	0.217	-0.652	-77.45	1	333
take-liquidity-multi-time-frame-tradesystem	15m	SAGAUSD	16	10	31.79	1.266	0.106	-5.33	3	42
take-liquidity-multi-time-frame-tradesystem	1h	UNIUSD	65	24	-209.39	0.651	-0.173	-287.30	3	125
smart-grid-scalping-pullback-strategy-bullbyte	1h	PIEVERSEUSD	31	19	130.54	1.685	0.210	95.59	7	125
take-liquidity-multi-time-frame-tradesystem	1h	HYPEUSD	83	36	-245.92	0.657	-0.163	-358.22	3	125
structure-anchored-vwap	15m	BNBUSD	7	6	62.62	3.929	0.446	38.93	4	42
take-liquidity-multi-time-frame-tradesystem	1h	VVVUSD	90	39	-175.68	0.776	-0.098	-248.29	3	125
take-liquidity-multi-time-frame-tradesystem	1h	XRPUSD	63	26	-253.01	0.589	-0.223	-323.81	3	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	15m	AKEUSD	30	20	420.80	3.083	0.696	325.26	3	42
take-liquidity-multi-time-frame-tradesystem	15m	AINUSD	9	5	7.29	1.104	0.048	-10.39	4	42
structure-anchored-vwap	15m	BCHUSD	13	9	33.03	1.406	0.132	55.09	3	42
smart-grid-scalping-pullback-strategy-bullbyte	1h	LINKUSD	39	33	261.46	5.281	0.302	150.00	7	125
take-liquidity-multi-time-frame-tradesystem	1h	BTCUSD	86	34	-374.38	0.445	-0.271	-475.77	1	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	AKEUSD	1	1	21.94	99.000	1.426	21.52	1	63
take-liquidity-multi-time-frame-tradesystem	4h	MUBARAKUSD	2	1	-2.66	0.869	-0.058	-4.18	1	333
take-liquidity-multi-time-frame-tradesystem	1h	TAOUSD	103	35	-473.85	0.466	-0.304	-528.26	1	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	AVAXUSD	11	4	-97.05	0.274	-0.458	-127.45	2	125
trend-trigger-ema-trend-filter-mtf-stochastic-entry-with-atr	1h	MUBARAKUSD	11	8	62.68	2.052	0.285	51.72	4	125
take-liquidity-multi-time-frame-tradesystem	1h	EVAAUSD	85	29	-371.60	0.522	-0.264	-406.92	2	125
